postcode,latitude,longitude
BS1,51.45536,-2.59153
BS2,51.45388,-2.58632
BS3,51.44458,-2.60078
BS4,51.434898,-2.56712
BS5,51.473549,-2.54909
BS6,51.4677,-2.6062
BS7,51.487514,-2.584188
BS8,51.454571,-2.61344
BS9,51.47715,-2.62617
BS10,51.512505,-2.597105
BS11,51.494881,-2.67723
BS13,51.409592,-2.59993
BS14,51.406349,-2.55845
BS15,51.46175,-2.52424
BS16,51.499763,-2.545459
BS20,51.475231,-2.67982
BS30,51.43539,-2.48177
BS31,51.41568,-2.49856
BS32,51.529701,-2.5348
BS34,51.527992,-2.598132
BS35,51.614269,-2.51768
BS36,51.512371,-2.49648
BS37,51.541393,-2.393334
BS39,51.371738,-2.55017
BS40,51.33289,-2.77014
BS41,51.410389,-2.64698
BS48,51.443722,-2.73585
BS49,51.400291,-2.84028
